month,hour,Production
7,17,1231.1443924731195
7,18,114.29653763440862
7,19,91.44375268817187
7,20,21.472499999999588
7,21,0.5065430107526873
7,22,0.0
7,23,0.0
8,0,0.0
8,1,0.0
8,2,0.11577956989247315
8,3,14.364930107526959
8,4,34.27819892473098
8,5,249.02187096774233
8,6,201.32886559139774
8,7,454.5639032258064
8,8,301.75223118279564
8,9,914.2486344086028
8,10,651.7587688172046
8,11,658.7105107526888
8,12,625.9662419354838
8,13,734.0321935483859
8,14,800.6312688172044
8,15,391.92786559139785
8,16,213.61599462365626
8,17,249.23409139784974
8,18,24.20479032258064
8,19,3.515817204301083
8,20,0.03858064516129033
8,21,0.0
8,22,0.0
8,23,0.0
9,0,0.0
9,1,0.0
9,2,0.0
9,3,0.0012833333333333334
9,4,1.896466666666668
9,5,42.57619444444441
9,6,121.56357222222208
9,7,552.0072555555548
9,8,430.1247055555556
9,9,541.2706666666656
9,10,364.0883833333322
9,11,925.6503388888899
9,12,850.4235611111095
9,13,541.9752388888883
9,14,155.84687222222217
9,15,228.06039444444468
9,16,60.802950000000266
9,17,6.698044444444484
9,18,0.22857222222222207
9,19,0.0
9,20,0.0
9,21,0.0
9,22,0.0
9,23,0.0
10,0,0.0
10,1,0.0
10,2,0.0
10,3,0.0
10,4,0.0
10,5,2.104274193548387
10,6,29.74510752688159
10,7,110.21422043010725
10,8,139.15822043010732
10,9,283.37527419354876
10,10,261.493252688172
10,11,339.4119408602153
10,12,559.6790752688167
10,13,119.06015053763439
10,14,60.43009677419386
10,15,42.91216666666656
10,16,1.634478494623656
10,17,0.0
10,18,0.0
10,19,0.0
10,20,0.0
10,21,0.0
10,22,0.0
10,23,0.0
11,0,0.0
11,1,0.0
11,2,0.0
11,3,0.0
11,4,0.0
11,5,0.0
11,6,0.0373
11,7,9.02746111111116
11,8,15.672455555555848
11,9,40.08136111111099
11,10,185.5607277777771
11,11,115.40201666666647
11,12,111.36458333333297
11,13,15.858055555555831
11,14,11.933055555555717
11,15,0.0008555555555555556
11,16,0.0
11,17,0.0
11,18,0.0
11,19,0.0
11,20,0.0
11,21,0.0
11,22,0.0
11,23,0.0
12,0,0.0
12,1,0.0
12,2,0.0
12,3,0.0
12,4,0.0
12,5,0.0
12,6,0.0
12,7,0.0
12,8,0.3023602150537625
12,9,6.187048387096841
12,10,23.385911780527035
12,11,26.147725806451405
12,12,23.474661290322523
12,13,1.6881559139784996
12,14,0.004553763440860214
12,15,0.0
12,16,0.0
12,17,0.0
12,18,0.0
12,19,0.0
12,20,0.0
12,21,0.0
12,22,0.0
12,23,0.0
